comparison,pair_key,input,seed,first_client_latency_seconds,second_client_latency_seconds,first_inference_latency_ms,second_inference_latency_ms,client_relative_percent,server_relative_percent,second_faster
baseline_sdaa_to_round5_final,00:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,4.123511778190732,2.7190965111367404,4116.753,2709.622,-34.058718456485295,-34.18060301407444,True
baseline_sdaa_to_round5_final,00:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,4.132822975981981,2.324223639909178,4127.666,2314.583,-43.761838979882015,-43.92513832272281,True
baseline_sdaa_to_round5_final,00:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,4.336667099967599,2.420824347063899,4332.097,2412.46,-44.17776851993121,-44.31195792707319,True
baseline_sdaa_to_round5_final,00:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,4.205121961887926,2.5249698203988373,4200.587,2512.242,-39.95489683097728,-40.19307301574756,True
baseline_sdaa_to_round5_final,00:004,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260730,5.420516377314925,3.704415536019951,5410.034,3695.801,-31.659360877072963,-31.686177942689454,True
baseline_sdaa_to_round5_final,00:005,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260731,4.404566567856818,2.4711328288540244,4397.761,2464.203,-43.89611802242707,-43.96687314294706,True
baseline_sdaa_to_round5_final,00:006,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260732,4.1472682557068765,2.347042370121926,4142.255,2332.63,-43.40751006660197,-43.68695312094499,True
baseline_sdaa_to_round5_final,00:007,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260733,4.3748244238086045,2.4309156737290323,4365.63,2422.774,-44.43398321314247,-44.5034508192403,True
baseline_sdaa_to_round5_final,00:008,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260734,4.8248865539208055,2.58736931392923,4815.624,2578.044,-46.374504664225135,-46.46500640415447,True
baseline_sdaa_to_round5_final,00:009,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260735,4.802175580989569,2.7538366140797734,4795.189,2743.595,-42.65439554144126,-42.78442413844377,True
baseline_sdaa_to_round5_final,00:010,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260736,5.227337551768869,3.11716263089329,5220.249,3096.092,-40.36806309096149,-40.690721841046276,True
baseline_sdaa_to_round5_final,00:011,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260737,3.929662815760821,2.2434470602311194,3923.091,2235.05,-42.90993488720568,-43.02834168261709,True
baseline_sdaa_to_round5_final,00:012,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260738,4.520504523999989,2.4680752749554813,4513.613,2458.752,-45.40265888791561,-45.525857001918425,True
baseline_sdaa_to_round5_final,00:013,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260739,4.487920505926013,2.5434670578688383,4481.739,2531.007,-43.326379009825324,-43.52622943906371,True
baseline_sdaa_to_round5_final,00:014,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260740,5.299579991959035,2.9555605920031667,5292.286,2947.23,-44.230286239898454,-44.3108327856809,True
baseline_sdaa_to_round5_final,00:015,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260741,4.489125702064484,2.4973479118198156,4481.497,2491.013,-44.36894670444801,-44.41560487488891,True
baseline_sdaa_to_round5_final,00:016,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260742,3.77039346517995,2.291016505099833,3762.868,2285.734,-39.23667314147307,-39.255535936950224,True
baseline_sdaa_to_round5_final,00:017,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260743,4.426152864936739,2.4400566397234797,4417.097,2429.413,-44.87183985322309,-44.999781530720284,True
baseline_sdaa_to_round5_final,00:018,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260744,4.685360690113157,2.8891355521045625,4679.059,2879.01,-38.33696606963281,-38.47032063498237,True
baseline_sdaa_to_round5_final,00:019,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260745,4.805512642022222,2.7596195531077683,4799.578,2751.902,-42.57387798804157,-42.663667514102286,True
baseline_sdaa_to_round5_final,00:020,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260746,4.856630261056125,2.6416978132911026,4849.505,2634.178,-45.60636343939763,-45.681507700270444,True
baseline_sdaa_to_round5_final,00:021,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260747,3.784106540028006,2.3087364472448826,3777.263,2299.153,-38.988598158555135,-39.13177345607124,True
baseline_sdaa_to_round5_final,00:022,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260748,4.249227199703455,2.3510877937078476,4241.894,2341.327,-44.670226297338836,-44.80467923055126,True
baseline_sdaa_to_round5_final,00:023,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260749,5.142280756961554,2.726375862956047,5135.806,2717.878,-46.981193913515625,-47.07981570954976,True
baseline_sdaa_to_round5_final,00:024,性能优化必须同时保证结果正确，不能用缩短音频或降低质量换取速度。,20260750,4.800535211805254,2.803217687178403,4792.591,2794.374,-41.60614257583488,-41.69387706983551,True
baseline_sdaa_to_round5_final,01:000,你好，这是用于太初 SDAA 卡性能测试的第一条固定语音。,20260726,4.1131784790195525,2.7219755188561976,4108.03,2717.077,-33.82306328936575,-33.85936811561745,True
baseline_sdaa_to_round5_final,01:001,今天的天气很好，我们正在验证语音合成服务的延迟和音频质量。,20260727,4.1027030614204705,2.3355091009289026,4097.843,2328.227,-43.07389382159468,-43.18408489539497,True
baseline_sdaa_to_round5_final,01:002,请保持自然、清晰、稳定的语速，完整读出这段性能测试文本。,20260728,4.332122931722552,2.40248647890985,4325.334,2394.332,-44.54251375653907,-44.64399743464897,True
baseline_sdaa_to_round5_final,01:003,CosyVoice API 正在国产加速卡上运行，本次测试会记录实时率和吞吐量。,20260729,4.231494391802698,2.5037744850851595,4226.135,2497.926,-40.83001764257324,-40.89336947352605,True
